Year,POP,NR,FPC,IO,POL,SPC,EF,HWI,,,,,,,,,,,,,,,,,,,,
1900,1.6,2,269.375,67,25,90,0.5,0.2,,,,,,,,,,,,,,,,,,,,
1905,1.66,1.998,279.5180723,80,22,90,0.51,0.22,,,,,,,,,,,,,,,,,,,,
1910,1.74,1.997,284.4827586,95,22,96,0.53,0.23,,,,,,,,,,,,,,,,,,,,
1915,1.81,1.994,293.9226519,113,23,104,0.55,0.24,,,,,,,,,,,,,,,,,,,,
1920,1.89,1.992,303.7037037,133,26,114,0.57,0.25,,,,,,,,,,,,,,,,,,,,
1925,1.97,1.989,315.2284264,158,29,126,0.59,0.26,,,,,,,,,,,,,,,,,,,,
1930,2.06,1.985,328.1553398,188,34,140,0.61,0.28,,,,,,,,,,,,,,,,,,,,
1935,2.15,1.981,344.1860465,225,40,156,0.64,0.3,,,,,,,,,,,,,,,,,,,,
1940,2.26,1.976,360.1769912,269,47,174,0.67,0.32,,,,,,,,,,,,,,,,,,,,
1945,2.46,1.969,368.2926829,321,56,189,0.7,0.38,,,,,,,,,,,,,,,,,,,,
1950,2.67,1.962,379.7752809,382,66,205,0.75,0.4,,,,,,,,,,,,,,,,,,,,
1955,2.9,1.953,392.0689655,455,79,222,0.8,0.42,,,,,,,,,,,,,,,,,,,,
1960,3.16,1.943,405.6962025,541,94,241,0.86,0.45,,,,,,,,,,,,,,,,,,,,
1965,3.44,1.93,418.8953488,643,112,261,0.92,0.48,,,,,,,,,,,,,,,,,,,,
1970,3.74,1.916,431.0160428,762,133,282,1,0.51,,,,,,,,,,,,,,,,,,,,
1975,4.07,1.897,442.2604423,899,159,307,1.09,0.54,,,,,,,,,,,,,,,,,,,,
1980,4.43,1.874,452.5959368,1056,191,334,1.2,0.58,,,,,,,,,,,,,,,,,,,,
1985,4.8,1.845,463.3333333,1236,232,363,1.32,0.61,,,,,,,,,,,,,,,,,,,,
1990,5.2,1.809,470.9615385,1441,284,395,1.44,0.65,,,,,,,,,,,,,,,,,,,,
1995,5.6,1.766,477.1428571,1670,349,428,1.59,0.68,,,,,,,,,,,,,,,,,,,,
2000,6.01,1.714,472.046589,1919,428,464,1.76,0.72,,,,,,,,,,,,,,,,,,,,
2005,6.39,1.653,468.7010955,2185,524,503,1.94,0.76,,,,,,,,,,,,,,,,,,,,
2010,6.76,1.581,461.2426036,2465,643,543,2.14,0.78,,,,,,,,,,,,,,,,,,,,
2015,7.11,1.499,448.6638537,2752,790,584,2.35,0.79,,,,,,,,,,,,,,,,,,,,
2020,7.41,1.406,436.0323887,3040,973,627,2.56,0.8,,,,,,,,,,,,,,,,,,,,
2025,7.68,1.305,420.703125,3326,1197,671,2.75,0.8,,,,,,,,,,,,,,,,,,,,
2030,7.9,1.197,408.9873418,3607,1467,717,3.05,0.8,,,,,,,,,,,,,,,,,,,,
2035,8.05,1.082,366.5838509,3864,1789,766,3.31,0.78,,,,,,,,,,,,,,,,,,,,
2040,8.09,0.963,314.7095179,4008,2190,815,3.61,0.74,,,,,,,,,,,,,,,,,,,,
2045,7.98,0.843,247.7443609,3979,2707,861,3.88,0.7,,,,,,,,,,,,,,,,,,,,
2050,7.64,0.725,182.460733,3771,3373,907,4.05,0.62,,,,,,,,,,,,,,,,,,,,
2055,6.88,0.616,129.9418605,3438,4213,980,4.06,0.55,,,,,,,,,,,,,,,,,,,,
2060,5.96,0.518,122.4832215,3079,5217,1068,3.86,0.53,,,,,,,,,,,,,,,,,,,,
2065,5.2,0.432,133.6538462,2780,6318,1133,3.57,0.54,,,,,,,,,,,,,,,,,,,,
2070,4.63,0.354,149.6760259,2510,7384,1170,3.29,0.55,,,,,,,,,,,,,,,,,,,,
2075,4.16,0.284,166.1057692,2275,8255,1188,3.03,0.55,,,,,,,,,,,,,,,,,,,,
2080,3.77,0.22,184.3501326,2080,8798,1195,2.82,0.56,,,,,,,,,,,,,,,,,,,,
2085,3.45,0.164,200.8695652,1586,8932,1168,2.46,0.56,,,,,,,,,,,,,,,,,,,,
2090,3.15,0.121,207.3015873,1086,8634,1045,1.97,0.54,,,,,,,,,,,,,,,,,,,,
2095,2.89,0.094,207.266436,757,7887,884,1.61,0.48,,,,,,,,,,,,,,,,,,,,
2100,2.69,0.078,197.7695167,542,6675,737,1.38,0.43,,,,,,,,,,,,,,,,,,,,